,overall_score,style_score,city,land,country,beer_type,abv,brewery,beer_name,calories,average_rating,review_average,weighted_average,description,served_in
62,87,86.0,Wrocław,Lower Silesian,Poland,IPA,6.2%,Doctor Brew,Doctor Brew Kinky Ale,186 cal per 355ml,3.74,3.54,3.53,16P…,Shaker
63,84,47.0,Wrocław,Lower Silesian,Poland,IPA - Hazy / New England (NEIPA),5.8%,Doctor Brew,Doctor Brew Welcome To Vermont IPA,174 cal per 355ml,3.59,3.53,3.51,"New England IPA 14.5º BLG. Mosaic, Citra & Amarillo hops.",Shaker
64,84,97.0,Wrocław,Lower Silesian,Poland,Pale Lager - Strong,7.9%,Doctor Brew,Doctor Brew / Moor Old Lager,237 cal per 355ml,3.55,3.53,3.50,"Uwarzyliśmy to piwo z Justinem Hawke. Właścicielem browaru Moor Beer Company. To było nasze największe browarnicze marzenie, jeszcze z czasów kiedy byliśmy amatorami. Spełnione marzenia nie mają ceny. Resztę oceń sam.…",
65,83,79.0,Wrocław,Lower Silesian,Poland,IPA,6.2%,Doctor Brew,Doctor Brew Summit IPA,186 cal per 355ml,3.58,3.54,3.49,"Summit Single Hop IPA - 16 Blg 
Z każdym łykiem będziesz odkrywał kolejne warstwy tego zaskakującego aromatu.…",Shaker
66,82,98.0,Wrocław,Lower Silesian,Poland,Witbier / Belgian White Ale,4.8%,Doctor Brew,Doctor Brew American Witbier,144 cal per 355ml,3.53,3.50,3.48,"Ingredients: water, malts (barley, wheat), rolled oats, flaked wheat, hops (Mosaic, Amarillo, Cascade), coriander, orange peel, curaçao, yeasts",Tumbler
67,82,78.0,Wrocław,Lower Silesian,Poland,IPA,6.2%,Doctor Brew,Doctor Brew Centennial IPA,186 cal per 355ml,3.59,3.51,3.49,"Malt: pale ale
Hop: Centennial…",Shaker
68,81,93.0,Wrocław,Lower Silesian,Poland,Dubbel,6.2%,Doctor Brew,Doctor Brew Black Abbey,186 cal per 355ml,3.51,3.49,3.46,Black Abbey - 16 BLG…,Trappist glass
69,80,74.0,Wrocław,Lower Silesian,Poland,IPA,5.6%,Doctor Brew,Doctor Brew Cascade IPA,168 cal per 355ml,3.59,3.48,3.46,"Ingredients: Pale Ale malt, Munich malt, wheat malt, caramel malt, melanoidin malt, hops: Cascade, yeast. Alc. 5.6%, ext. 14.5 P, IBU 56, non-filtered, non-pasteurized.",Shaker
70,78,72.0,Wrocław,Lower Silesian,Poland,IPA,6.2%,Doctor Brew,Doctor Brew Azacca IPA,186 cal per 355ml,3.55,3.47,3.46,"Single Hop
Legenda mówi, że co kilka pokoleń, w okolicy równika, dzieje się niewytłumaczalne zjawisko- wszystkie drzewa owocowe obradzają w owoce Azacca, a ziemia wokół tych drzew jest sucha i spękana. Owoc ten jest tak aromatyczny, że jego woń daje się wyczuć nawet z…",Shaker
71,77,92.0,Wrocław,Lower Silesian,Poland,Flavored - Other,7.5%,Doctor Brew,Doctor Brew Xmas Rye,225 cal per 355ml,3.35,3.42,3.39,"Życzę tobie, aby to, czego doświadczasz w te święta przypominało ci o chwilach, dla których warto żyć. Poczuj jak wspaniale jest spędzać święta z tymi, których kochasz. Pozwól tym chwilom trwać i doświadczaj ich będąc tu i teraz. Życzę tobie i twoim bliskim ciepła, bliskości i miłości, no... i żebyście się dobrego piwa napili.…",Lager glass
72,77,40.0,Wrocław,Lower Silesian,Poland,Sour / Wild Beer,4.8%,Doctor Brew,Doctor Brew / Rewort Joint Venture Acid,144 cal per 355ml,3.57,3.47,3.42,"Kooperacyjne kwaśne piwo Doctor Brew i rosyjskiego browaru Rewort. 
Piwo zakwaszane bakteriami jogurtu greckiego. Umiarkowany poziom kwaśności dąży do wysokiej pijalności i orzeźwienia. W tle…",Snifter
73,77,26.0,Wrocław,Lower Silesian,Poland,Stout - Imperial,12.5%,Doctor Brew,"Doctor Brew Russian Imperial Stout 27,5",375 cal per 355ml,3.49,3.46,3.44,"Czy można ZROBIĆ PIWO JESZCZE BARDZIEJ OLEISTE, CZARNE, CZEKOLADOWE?…",Snifter
74,77,42.0,Wrocław,Lower Silesian,Poland,Porter - Baltic,9.5%,Doctor Brew,Doctor Brew Baltic Porter,285 cal per 355ml,3.45,3.45,3.43,"Empirycznie: DELIKATNIE SŁODKI, ŚREDNIO GORYCZKOWY, MOCARNY PORTER O ORZECHOWYM CHARAKTERZE. WYJĄTKOWO PIJALNY - JAK NA CIASTECZKOWY POSMAK DOMOWEGO WYPIEKU. TO CZEKOLADOWO-ORZECHOWA KOMPOZYCJA SMAKOWI AROMATÓW.…",English pint
75,75,54.0,Wrocław,Lower Silesian,Poland,Old Ale,8.5%,Doctor Brew,Doctor Brew Old Ale aged with Almonds,255 cal per 355ml,3.46,3.42,3.39,KLASYCZNY OLD ALE Z MIGDAŁAMI. DELIKATNIE SŁODKIE. DŁUGO LEŻAKOWANE PIWO.…,English pint
76,72,38.0,Wrocław,Lower Silesian,Poland,IIPA DIPA - Imperial / Double IPA,8.0%,Doctor Brew,Doctor Brew Double IPA,240 cal per 355ml,3.51,3.43,3.42,,Shaker
77,72,45.0,Wrocław,Lower Silesian,Poland,IPA - Belgian / Saison,8.5%,Doctor Brew,Doctor Brew Anabelle Belgian IPA,255 cal per 355ml,3.41,3.42,3.40,"W tym oto szklanym ciele, w królestwie nad mórz pianą.
Mam dla ciebie bukiet belgijskich tulipanów i Anabelle srebrzaną.…",
78,72,94.0,Wrocław,Lower Silesian,Poland,Wheat Ale,6.2%,Doctor Brew,Doctor Brew Black Weizen,186 cal per 355ml,3.43,3.42,3.38,Black Weizen - 16 BLG…,Shaker
79,71,94.0,Poznań,Greater Poland,Poland,Witbier / Belgian White Ale,5.3%,Browar Szalpiw,Szałpiw Jasny Dynks,159 cal per 355ml,3.31,3.41,3.38,,Tumbler
80,68,95.0,Wrocław,Lower Silesian,Poland,Red Ale / International Amber Ale,5.3%,Doctor Brew,Doctor Brew Amber Ale,159 cal per 355ml,3.38,3.48,3.38,"Amber Ale to lekkie piwo w dobrym guście. Aromatyczne chmiele przenika wyważona kontra słodowa, a całość zamyka zbalansowana goryczka. Odrobina ciemnych słodów nadaje posmak prażonego słonecznika.…",English pint
81,68,72.0,Wrocław,Lower Silesian,Poland,Smoked - Rauchbier,5.7%,Doctor Brew,Doctor Brew Rauchweizen,171 cal per 355ml,3.42,3.42,3.36,,Dimpled mug
82,66,69.0,Wrocław,Lower Silesian,Poland,Pale Ale - American (APA),5.5%,Doctor Brew,Doctor Brew Moli Hua,165 cal per 355ml,3.57,3.41,3.36,"Moli Hua - Que She Jian ""Ptasi Języczek"" (dosłownie: końcówka języczka wróbla) - zielona herbata naturalnie aromatyzowana świeżymi kwiatami jaśminu z chińskiej prowincji Fujian. Aby nie zdominować jej delikatności, do zasypu dodaliśmy płatki ryżu, dając Tobie szansę zanurzenia się w subtelnościach tego napoju. Magic. Mosaic. Dobrybru.…",Lager glass
83,63,27.0,Wrocław,Lower Silesian,Poland,Sour / Wild Beer - Flavored,4.8%,Doctor Brew,Doctor Brew Double Mosaic Orange Acid,144 cal per 355ml,3.48,3.43,3.33,12° Plato,
84,63,46.0,Wrocław,Lower Silesian,Poland,IPA,6.2%,Doctor Brew,Doctor Brew EXP682,186 cal per 355ml,3.31,3.40,3.32,"Piwo na bazie nowofalowego, eksperymentalnego chmielu będącego połączeniem tradycyjnych angielskich odmian z nowofalowym szaleństwem. W aromacie jak i w smaku daje się wyczuć wyraźne nuty ziemisto-ziołowe przenikające się z zapachem mokrego lasu iglastego. Całość profilu tego chmielu dopełnia kwiatowo-cytrusowo-owocowa rześkość podkreślająca również słodkie aromaty słod…",Shaker
85,63,47.0,Wrocław,Lower Silesian,Poland,IPA,6.2%,Doctor Brew,Doctor Brew Sorachi Ace,186 cal per 355ml,3.39,3.35,3.33,"Chmiel Sorachi Ace wyhodowany w Japonii o wyjątkowo tropikalnym profilu z przewagą kokosowych nut. Zasyp słodowy zatarty tak, by piwo było gładkie i lekkie w odbiorze. Popatrz szklance w oczy i posłuchaj co szepcze mgiełka: Moja. Kokosowa. Przyjemność.",Shaker
86,61,23.0,Wrocław,Lower Silesian,Poland,Sour / Wild Beer,6.0%,Doctor Brew,Doctor Brew Wiśnia Północy,180 cal per 355ml,3.34,3.38,3.29,Wild Beach - 14 Blg,Snifter
87,58,47.0,Wrocław,Lower Silesian,Poland,Weissbier - Weizenbock,7.0%,Doctor Brew,Doctor Brew Australian Weizenbock,210 cal per 355ml,3.25,3.29,3.27,"Słody: Pszeniczny, Pilzneński, Karmelowy. Chmiele: Summer, Topaz, Ella. Goryczka: 44 IBU. Ekstrakt: 17.5 Blg. Alk. 7% obj.",Dimpled mug
88,56,25.0,Wrocław,Lower Silesian,Poland,Barley Wine / Wheat Wine / Rye Wine,12.5%,Doctor Brew,Doctor Brew / Maldita Portugal Barley Wine,375 cal per 355ml,3.45,3.31,3.29,"Uwarzyliśmy to piwo kooperacyjne z Goncalo Faustino z Maldita Brewing Co. - wielokrotnym medalistą bardzo prestiżowych konkursów w świecie piwa. Wspólnie pracując nad recepturą staraliśmy się, aby faktura piwa była gładka i aksamitna. W smaku i aromacie wyraźne nuty słodowe, podane z owocami zbieranymi późnym latem. Całość pokropiona utlenionym alkoholem - poezja w płynie.…",Snifter
89,55,84.0,Wrocław,Lower Silesian,Poland,Wheat Ale - India / Hopfenweisse,5.0%,Doctor Brew,Doctor Brew American Weizen,150 cal per 355ml,3.31,3.27,3.25,"Słody: Pszeniczny, Pilzneński, Karmelowy. Chmiele: Mosaic, Amarillo, Cascade. Goryczka: 29 IBU. Ekstrakt: 12.0 Blg. Alk. 5% obj.",
90,54,42.0,Wrocław,Lower Silesian,Poland,IPA,6.2%,Doctor Brew,Doctor Brew Ella IPA,186 cal per 355ml,3.26,3.32,3.29,Wśród liści zieleni i kwiatów czerwieni kwitnę ja - Ella.…,Shaker
91,53,59.0,Wrocław,Lower Silesian,Poland,Pale Ale - American (APA),4.2%,Doctor Brew,Doctor Brew Summer Ale,126 cal per 355ml,3.39,3.31,3.30,Eks.11%,Lager glass
92,49,35.0,Wrocław,Lower Silesian,Poland,IPA,6.2%,Doctor Brew,Doctor Brew Mandarina Bavaria,186 cal per 355ml,3.23,3.28,3.24,Podobno na niemieckiej Polinezji rośnie bardzo rzadka mandarynka bawarska.…,Shaker
93,49,37.0,Wrocław,Lower Silesian,Poland,IPA,6.2%,Doctor Brew,Doctor Brew Polaris IPA,186 cal per 355ml,3.39,3.28,3.26,"Polaris - to jeden z symboli najwyższego kunsztu niemieckiego chmielarstwa. Delikatnie cytrusowy, delikatnie żywiczny. Świeży, ziołowy aromat. Delektuj się nim. Każdy łyk to kolejna odsłona ukrytych subtelności",Shaker
94,49,15.0,Wrocław,Lower Silesian,Poland,IIPA DIPA - Imperial / Double IPA,8.9%,Doctor Brew,Doctor Brew Triple IPA,267 cal per 355ml,3.21,3.27,3.25,"Zainspirowani chmielem do granic możliwości, stworzyliśmy piwo, które cechuje wybitne połączenie trzech odmian z Europy, Ameryki i Australii. Bogate i intensywne w swym aromacie, a zarazem doskonale zbalansowane. Piwo to jest najmocniejszym przedstawicielem stylu IPA w wykonaniu Doctor Brew. Wszystkie jego składniki przyleciały do browaru na latających dywanach, co miało ogromny wpły…",Shaker
95,48,72.0,Poznań,Greater Poland,Poland,Belgian Ale - Pale / Golden / Single,5.6%,Browar Szalpiw,Szałpiw Bździągwa,168 cal per 355ml,3.37,3.25,3.23,"Ekstrakt: 13 % wag. Alkohol: 5,6% obj. Styl: Belgian Pale Ale. Piwo górnej fermentacji, bursztynowe, niepasteryzowane, refermentowane. 
Skład: woda, słód pilzneński, słód monachijski, słód karmelowy, cukier; chmiele: Marynka, Sybilla, Styrian Goldings; drożdże belgijskie.",Trappist glass
96,47,31.0,Wrocław,Lower Silesian,Poland,IPA,6.2%,Doctor Brew,Doctor Brew Galaxy IPA,186 cal per 355ml,3.31,3.24,3.21,Do produkcji tego nietuzinkowego piwa wykorzystaliśmy całe szyszki chmielu.…,Shaker
